Title,Director,Genre,Cast,combined
the tao of steve,jenniphr goodman,comedy,donal logue,the tao of steve jenniphr goodman comedy donal logue
terror tract,lance w. dreesen,comedy  horror,john ritter  david deluise  allison smith,terror tract lance w. dreesen comedy  horror john ritter  david deluise  allison smith
things you can tell just by looking at her,rodrigo garcía,romance,glenn close  cameron diaz  calista flockhart  kathy baker  amy brenneman,things you can tell just by looking at her rodrigo garcía romance glenn close  cameron diaz  calista flockhart  kathy baker  amy brenneman
thirteen days,roger donaldson,drama,kevin costner  bruce greenwood  dylan baker  steven culp  len cariou  kevin conway,thirteen days roger donaldson drama kevin costner  bruce greenwood  dylan baker  steven culp  len cariou  kevin conway
thomas & the magic railroad,britt allcroft,family,alec baldwin  peter fonda  mara wilson,thomas & the magic railroad britt allcroft family alec baldwin  peter fonda  mara wilson
tigerland,joel schumacher,war,colin farrell  matthew davis  clifton collins  jr.,tigerland joel schumacher war colin farrell  matthew davis  clifton collins  jr.
the tigger movie,jun falkenstein,animation,jim cummings  nikita hopkins  john fiedler,the tigger movie jun falkenstein animation jim cummings  nikita hopkins  john fiedler
timecode,mike figgis,drama,salma hayek  stellan skarsgård  holly hunter,timecode mike figgis drama salma hayek  stellan skarsgård  holly hunter
titan a.e.,"don bluth, gary goldman",animation,matt damon  nathan lane,"titan a.e. don bluth, gary goldman animation matt damon  nathan lane"
traffic,steven soderbergh,crime drama,michael douglas  don cheadle  benicio del toro  dennis quaid  catherine zeta-jones,traffic steven soderbergh crime drama michael douglas  don cheadle  benicio del toro  dennis quaid  catherine zeta-jones
tripfall,serge rodnunsky,thriller,eric roberts  john ritter  rachel hunter,tripfall serge rodnunsky thriller eric roberts  john ritter  rachel hunter
turn it up,robert adetuyi,musical,pras  ja rule,turn it up robert adetuyi musical pras  ja rule
u-571,jonathan mostow,action,matthew mcconaughey  harvey keitel  jon bon jovi,u-571 jonathan mostow action matthew mcconaughey  harvey keitel  jon bon jovi
unbreakable,m. night shyamalan,thriller,bruce willis  samuel l. jackson  robin wright penn,unbreakable m. night shyamalan thriller bruce willis  samuel l. jackson  robin wright penn
under suspicion,stephen hopkins,crime drama,gene hackman  morgan freeman  monica bellucci,under suspicion stephen hopkins crime drama gene hackman  morgan freeman  monica bellucci
up at the villa,philip haas,drama,kristin scott thomas  sean penn,up at the villa philip haas drama kristin scott thomas  sean penn
urban legends: final cut,john ottman,horror,jennifer morrison  matthew davis  hart bochner ,urban legends: final cut john ottman horror jennifer morrison  matthew davis  hart bochner 
vertical limit,martin campbell,thriller,chris o'donnell  bill paxton  robin tunney,vertical limit martin campbell thriller chris o'donnell  bill paxton  robin tunney
the visit,jordan walker-pearlman,drama,hill harper  billy dee williams  rae dawn chong,the visit jordan walker-pearlman drama hill harper  billy dee williams  rae dawn chong
waking the dead,keith gordon,drama,jennifer connelly  billy crudup,waking the dead keith gordon drama jennifer connelly  billy crudup
the watcher,joe charbanic,thriller,james spader  keanu reeves  marisa tomei,the watcher joe charbanic thriller james spader  keanu reeves  marisa tomei
the way of the gun,christopher mcquarrie,crime drama,benicio del toro  ryan phillippe,the way of the gun christopher mcquarrie crime drama benicio del toro  ryan phillippe
what lies beneath,robert zemeckis,thriller,harrison ford  michelle pfeiffer  joe morton,what lies beneath robert zemeckis thriller harrison ford  michelle pfeiffer  joe morton
what planet are you from?,mike nichols,comedy  sci-fi,garry shandling  annette bening  john goodman  greg kinnear  linda fiorentino,what planet are you from? mike nichols comedy  sci-fi garry shandling  annette bening  john goodman  greg kinnear  linda fiorentino
what women want,nancy meyers,comedy,mel gibson  helen hunt  marisa tomei  alan alda,what women want nancy meyers comedy mel gibson  helen hunt  marisa tomei  alan alda
whatever it takes,david raynr,comedy,shane west  marla sokoloff  jodi lyn o'keefe  james franco,whatever it takes david raynr comedy shane west  marla sokoloff  jodi lyn o'keefe  james franco
where the heart is,matt williams,comedy  drama,natalie portman  ashley judd  stockard channing  joan cusack  keith david  sally field,where the heart is matt williams comedy  drama natalie portman  ashley judd  stockard channing  joan cusack  keith david  sally field
where the money is,marek kanievska,comedy  crime,paul newman  linda fiorentino  dermot mulroney  susan barnes,where the money is marek kanievska comedy  crime paul newman  linda fiorentino  dermot mulroney  susan barnes
whipped,peter cohen,comedy,amanda peet  callie thorne  brian van holt,whipped peter cohen comedy amanda peet  callie thorne  brian van holt
the whole nine yards,jonathan lynn,comedy  crime,bruce willis  matthew perry  rosanna arquette  natasha henstridge  michael clarke duncan  amanda peet  kevin pollak,the whole nine yards jonathan lynn comedy  crime bruce willis  matthew perry  rosanna arquette  natasha henstridge  michael clarke duncan  amanda peet  kevin pollak
woman on top,fina torres,comedy,penélope cruz,woman on top fina torres comedy penélope cruz
wonder boys,curtis hanson,comedy  drama,michael douglas  tobey maguire  frances mcdormand  katie holmes  robert downey  jr.,wonder boys curtis hanson comedy  drama michael douglas  tobey maguire  frances mcdormand  katie holmes  robert downey  jr.
x-men,bryan singer,action  sci-fi,hugh jackman  patrick stewart  ian mckellen,x-men bryan singer action  sci-fi hugh jackman  patrick stewart  ian mckellen
the yards,james gray,crime drama,mark wahlberg  charlize theron  joaquin phoenix  james caan  ellen burstyn  faye dunaway,the yards james gray crime drama mark wahlberg  charlize theron  joaquin phoenix  james caan  ellen burstyn  faye dunaway
you can count on me,kenneth lonergan,drama,laura linney  mark ruffalo  matthew broderick,you can count on me kenneth lonergan drama laura linney  mark ruffalo  matthew broderick
15 minutes,john herzfeld,action  crime,robert de niro charlize theron kelsey grammer,15 minutes john herzfeld action  crime robert de niro charlize theron kelsey grammer
3 a.m.,lee davis,crime drama,sarita choudhury michelle rodriguez arjun g. awtramani,3 a.m. lee davis crime drama sarita choudhury michelle rodriguez arjun g. awtramani
3000 miles to graceland,demian lichtenstein,action  crime,kurt russell kevin costner courteney cox,3000 miles to graceland demian lichtenstein action  crime kurt russell kevin costner courteney cox
a.i. artificial intelligence,steven spielberg,science fiction,haley joel osment jude law frances o'connor,a.i. artificial intelligence steven spielberg science fiction haley joel osment jude law frances o'connor
the affair of the necklace,charles shyer,drama,hilary swank simon baker christopher walken,the affair of the necklace charles shyer drama hilary swank simon baker christopher walken
after the storm,guy ferland,adventure  drama,madeline leon bo yokely carlisle j. williams,after the storm guy ferland adventure  drama madeline leon bo yokely carlisle j. williams
ali,michael mann,drama  biography,will smith jamie foxx jon voight,ali michael mann drama  biography will smith jamie foxx jon voight
all over the guy,julie davis,comedy,dan bucatinsky richard ruccolo doris roberts,all over the guy julie davis comedy dan bucatinsky richard ruccolo doris roberts
along came a spider,lee tamahori,crime  thriller,morgan freeman monica potter michael wincott,along came a spider lee tamahori crime  thriller morgan freeman monica potter michael wincott
the amati girls,anne de salvo,drama,cloris leachman mercedes ruehl dinah manoff,the amati girls anne de salvo drama cloris leachman mercedes ruehl dinah manoff
america's sweethearts,joe roth,comedy,julia roberts john cusack catherine zeta-jones,america's sweethearts joe roth comedy julia roberts john cusack catherine zeta-jones
the american astronaut,cory mcabee,musical,joshua taylor greg russell cook rocco sisto,the american astronaut cory mcabee musical joshua taylor greg russell cook rocco sisto
american outlaws,les mayfield,western,colin farrell scott caan ali larter,american outlaws les mayfield western colin farrell scott caan ali larter
american pie 2,james rogers,comedy,jason biggs thomas ian nicholas chris klein,american pie 2 james rogers comedy jason biggs thomas ian nicholas chris klein
an american rhapsody,éva gárdos,drama,scarlett johansson nastassja kinski tony goldwyn,an american rhapsody éva gárdos drama scarlett johansson nastassja kinski tony goldwyn
amy's orgasm,julie davis,comedy,nick chinlund caroline aaron mitchell whitfield,amy's orgasm julie davis comedy nick chinlund caroline aaron mitchell whitfield
angel eyes,luis mandoki,romance,jennifer lopez jim caviezel jeremy sisto,angel eyes luis mandoki romance jennifer lopez jim caviezel jeremy sisto
the animal,luke greenfield,comedy,rob schneider colleen haskell john c. mcginley,the animal luke greenfield comedy rob schneider colleen haskell john c. mcginley
the anniversary party,"alan cumming, jennifer jason leigh",comedy  drama,alan cumming jennifer jason leigh john benjamin hickey,"the anniversary party alan cumming, jennifer jason leigh comedy  drama alan cumming jennifer jason leigh john benjamin hickey"
antitrust,peter howitt,crime drama,ryan phillippe rachael leigh cook tim robbins,antitrust peter howitt crime drama ryan phillippe rachael leigh cook tim robbins
atlantis: the lost empire,"gary trousdale, kirk wise",animation,michael j. fox cree summer james garner,"atlantis: the lost empire gary trousdale, kirk wise animation michael j. fox cree summer james garner"
baby boy,john singleton,crime drama,tyrese gibson taraji p. henson omar gooding,baby boy john singleton crime drama tyrese gibson taraji p. henson omar gooding
bandits,barry levinson,crime  comedy,bruce willis billy bob thornton cate blanchett,bandits barry levinson crime  comedy bruce willis billy bob thornton cate blanchett
bartleby,jonathan parker,comedy  drama,crispin glover david paymer glenne headly,bartleby jonathan parker comedy  drama crispin glover david paymer glenne headly
a beautiful mind,ron howard,biography  drama,russell crowe jennifer connelly ed harris,a beautiful mind ron howard biography  drama russell crowe jennifer connelly ed harris
behind enemy lines,john moore,war,owen wilson gene hackman gabriel macht,behind enemy lines john moore war owen wilson gene hackman gabriel macht
the believer,henry bean,drama,ryan gosling summer phoenix theresa russell,the believer henry bean drama ryan gosling summer phoenix theresa russell
big bad love,arliss howard,drama,arliss howard debra winger paul le mat,big bad love arliss howard drama arliss howard debra winger paul le mat
black hawk down,ridley scott,war,josh hartnett ewan mcgregor eric bana,black hawk down ridley scott war josh hartnett ewan mcgregor eric bana
black knight,gil junger,comedy,martin lawrence marsha thomason tom wilkinson,black knight gil junger comedy martin lawrence marsha thomason tom wilkinson
blow,ted demme,biography  drama,johnny depp penélope cruz franka potente,blow ted demme biography  drama johnny depp penélope cruz franka potente
bones,ernest r. dickerson,horror,saoirse ronan mark wahlberg rachel weisz,bones ernest r. dickerson horror saoirse ronan mark wahlberg rachel weisz
boom: the sound of eviction,francine cavanaugh,documentary,unknown,boom: the sound of eviction francine cavanaugh documentary unknown
a boy named sue,julie wyman,documentary,theo a. steffen lisi kris force,a boy named sue julie wyman documentary theo a. steffen lisi kris force
